Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
0.496,12369,6,23,16
1.065,12369,6,23,16
1.515,12369,6,23,16
1.981,12369,6,23,16
2.459,12369,6,23,16
2.949,12369,6,23,16
3.457,12369,65511,23,16
3.965,12369,65511,23,16
4.509,12369,65511,23,16
5.045,12369,65511,23,16
5.452,12369,65511,23,16
6.013,12369,65511,23,16
6.486,12369,65511,23,16
6.987,12369,65511,23,16
7.454,12369,65511,23,16
8.033,12369,65511,23,16
8.493,12369,65511,23,20
8.964,12726,24912,23,22
9.475,12726,24912,23,20
9.978,12726,24912,23,22
10.442,12726,24912,23,20
10.960,12726,24912,23,22
11.495,12726,24912,23,20
11.958,12726,24912,23,22
12.545,12726,24912,23,19
12.955,12726,24912,23,22
13.466,12726,24912,23,19
13.985,12726,24912,23,23
14.466,12747,24918,23,19
14.980,12744,24934,23,23
15.571,12751,24946,23,19
15.944,12754,24953,23,23
16.515,12751,24934,23,18
16.939,12758,24909,23,24
17.440,12762,24940,23,18
17.992,12762,24896,23,25
18.516,12765,24946,23,17
18.992,12762,24953,23,26
19.515,12765,24931,23,16
19.976,12769,24890,23,27
20.597,12769,24968,23,15
20.968,12776,24931,23,28
21.548,12776,24900,23,13
22.032,12776,24912,23,30
22.541,12780,24931,23,12
23.041,12783,24896,23,32
23.440,12780,24946,23,12
23.942,12787,24931,23,32
24.443,12780,24946,23,12
25.028,12783,24918,23,32
25.526,12787,24953,23,12
25.943,12794,24931,23,32
26.470,12794,24956,23,12
26.959,12790,24906,23,32
27.460,12790,24896,23,12
28.002,12794,24909,23,32
28.465,12798,24953,23,12
28.957,12798,24931,23,32
29.437,12801,24928,23,12
30.023,12801,24937,23,32
30.590,12801,24925,23,12
31.084,12801,24950,23,32
31.457,12805,24953,23,12
31.965,12805,24950,23,32
32.485,12808,24925,23,12
33.024,12812,24928,23,32
33.498,12808,24906,23,12
34.005,12805,24940,23,32
34.469,12812,24906,23,12
34.940,12812,24934,23,32
35.481,12808,24934,23,12
35.932,12816,24875,23,32
36.555,12823,24937,23,12
37.056,12812,24918,23,32
37.452,12816,24915,23,12
