Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
444.336,13885,-21,20,69
444.824,13881,-9,20,73
445.308,13881,21,20,76
445.785,13878,-9,20,80
446.329,13885,37,20,82
446.832,13881,-6,20,84
447.339,13881,-3,20,85
447.812,13885,6,20,86
448.315,13878,-18,20,86
448.855,13878,-18,20,86
449.378,13878,-18,20,86
449.826,13878,-18,20,86
450.314,13878,-18,20,86
450.861,13878,-18,20,86
451.343,13878,-18,20,86
451.818,13878,-18,20,86
452.289,13878,-18,20,86
452.834,13878,-18,20,86
453.333,13885,-28,20,87
453.850,13885,-28,20,87
454.334,13885,-28,20,87
454.854,13885,-28,20,87
455.353,13885,-28,20,87
455.871,13885,-28,20,87
456.357,13885,-28,20,87
456.838,13885,-28,20,87
457.355,13885,-28,20,87
457.803,13885,-28,20,87
458.343,13885,-28,20,87
458.814,13888,-31,20,87
459.328,13888,-31,20,87
459.843,13888,-31,20,87
460.323,13888,-31,20,87
460.845,13888,-31,20,87
461.332,13888,-31,20,87
461.820,13888,-31,20,87
462.331,13888,-31,20,87
462.864,13888,-31,20,87
463.355,13888,-31,20,87
463.819,13888,-31,20,89
464.319,14180,23918,20,93
464.828,14180,23918,20,94
465.345,14180,23918,20,95
465.870,14180,23918,20,95
466.307,14180,23918,20,95
466.840,14180,23918,20,95
467.342,14180,23918,20,95
467.792,14180,23918,20,95
468.322,14180,23918,20,95
468.862,14180,23918,20,95
469.344,14180,23918,20,95
469.822,14202,23909,20,95
470.358,14205,23915,20,95
470.806,14202,23950,20,95
471.363,14209,23931,20,95
471.834,14212,23909,20,95
472.375,14216,23909,20,95
472.815,14212,23871,20,95
473.352,14216,23903,20,95
473.872,14216,23903,20,95
474.353,14216,23909,20,95
474.831,14216,23878,20,95
475.382,14216,23921,20,95
475.837,14220,23900,20,95
476.294,14223,23940,20,96
476.826,14223,23937,20,96
477.347,14223,23950,20,96
477.866,14227,23946,20,96
478.294,14223,23928,20,96
478.857,14227,23909,20,96
479.347,14227,23909,20,96
479.848,14234,23896,20,96
480.359,14234,23893,20,96
480.875,14234,23868,20,96
481.346,14241,23946,20,96
481.828,14234,23900,20,96
482.335,14238,23934,20,96
482.842,14238,23928,20,96
483.326,14238,23915,20,96
483.923,14238,23962,20,96
484.338,14248,23900,20,96
484.808,14245,23890,20,96
485.348,14248,23921,20,96
485.831,14241,23900,20,96
486.332,14241,23903,20,96
486.843,14248,23921,20,96
487.351,14252,23909,20,96
487.837,14248,23940,20,96
488.341,14252,23915,20,96
488.850,14248,23871,20,96
489.354,14252,23934,20,96
489.829,14252,23896,20,96
490.350,14259,23893,20,96
490.836,14256,23912,20,96
491.366,14256,23928,20,96
491.840,14259,23921,20,96
492.332,14256,23937,20,96
492.802,14256,23900,20,96
493.321,14259,23928,20,96
493.879,14256,23912,20,96
494.359,14263,23940,20,96
494.847,14259,23881,20,96
495.361,14266,23887,20,96
495.854,14259,23900,20,96
496.336,14263,23918,20,96
496.906,14266,23934,20,96
497.382,14259,23931,20,96
497.906,14263,23928,20,96
498.386,14270,23918,20,96
499.220,14266,23896,20,96
499.553,14263,23896,20,96
499.999,14270,23909,20,96
500.378,14270,23940,20,96
500.934,14266,23915,20,96
501.440,14270,23921,20,96
501.858,14270,23903,20,96
502.395,14277,23915,20,96
502.901,14274,23903,20,96
503.342,14266,23915,20,96
503.808,14277,23934,20,96
504.372,14277,23890,20,96
504.878,14274,23918,20,96
505.374,14274,23915,20,96
505.868,14277,23928,20,96
506.349,14277,23909,20,96
506.882,14281,23878,20,96
507.339,14281,23909,20,96
507.845,14277,23928,20,96
508.403,14284,23909,20,96
508.887,14274,23931,20,96
509.442,14277,23915,20,96
509.867,14281,23909,20,96
510.406,14281,23900,20,96
510.958,14288,23900,20,96
511.442,14281,23909,20,96
511.990,14281,23903,20,96
512.418,14288,23887,20,96
512.959,14284,23912,20,96
513.357,14292,23959,20,96
513.847,14284,23950,20,96
514.341,14288,23937,20,96
514.918,14288,23934,20,96
515.387,14288,23934,20,96
515.882,14292,23937,20,96
516.384,14295,23918,20,96
516.853,14292,23946,20,96
517.336,14288,23900,20,96
517.848,14292,23893,20,96
518.364,14288,23946,20,96
518.882,14292,23934,20,96
