Time(s),CELL VOLTAGE 1 (100 uV),CELL VOLTAGE 2 (100 uV),CELL VOLTAGE 3 (100 uV),CELL VOLTAGE 4 (100 uV),CELL VOLTAGE 5 (100 uV),CELL VOLTAGE 6 (100 uV),CELL VOLTAGE 7 (100 uV),CELL VOLTAGE 8 (100 uV),CELL VOLTAGE 9 (100 uV),CELL VOLTAGE 10 (100 uV),CELL VOLTAGE 11 (100 uV),CELL VOLTAGE 12 (100 uV),Temperature 1(C),Temperature 2(C),Temperature 3(C)
32.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792.180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152.550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1231.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1351.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1431.890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1471.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1511.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1552.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1592.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1751.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1791.680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1831.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1872.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991.560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2151.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2191.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2231.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2271.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2311.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2351.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2391.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
