Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
2.422,14616,-3,25,77
2.951,14616,-6,25,35
3.420,14616,-9,25,20
3.922,14612,-18,25,39
4.552,14612,-21,25,20
4.913,14608,21,25,39
5.456,14608,18,25,20
5.936,14619,-25,25,39
6.427,14612,9,25,20
6.914,14612,9,25,39
7.406,14612,9,25,20
7.934,14612,9,25,39
8.422,14612,9,25,20
8.949,14612,9,25,39
9.426,14612,9,25,20
9.946,14612,9,25,39
10.439,14612,9,25,20
10.961,14612,9,25,39
11.459,14612,-18,25,20
11.930,14612,-18,25,39
12.410,14612,-18,25,20
12.922,14612,-18,25,39
13.442,14612,-18,25,20
13.902,14612,-18,25,39
14.474,14612,-18,25,20
14.979,14612,-18,25,39
15.415,14612,-18,25,20
15.902,14612,-18,25,39
16.418,14612,-18,25,20
16.922,14612,-40,25,39
17.404,14612,-40,25,20
17.920,14612,-40,25,39
18.423,14612,-40,25,20
18.938,14612,-40,25,39
19.441,14612,-40,25,20
19.917,14612,-40,25,39
20.417,14612,-40,25,20
20.911,14612,-40,25,39
21.410,14612,-40,25,20
21.929,14612,-40,25,39
22.405,14616,-78,25,20
22.910,14616,-78,25,39
23.403,14616,-78,25,20
23.900,14616,-78,25,39
24.486,14616,-78,25,20
24.900,14616,-78,25,39
25.407,14616,-78,25,20
25.905,14616,-78,25,39
26.390,14616,-78,25,20
26.923,14616,-78,25,39
27.430,14616,-78,25,20
27.897,14522,-7956,25,38
28.417,14522,-7956,25,19
28.911,14522,-7956,25,38
29.397,14522,-7956,25,19
29.870,14522,-7956,25,38
30.370,14522,-7956,25,19
30.942,14522,-7956,25,38
31.370,14522,-7956,25,19
31.926,14522,-7956,25,38
32.417,14522,-7956,25,19
32.886,14522,-7956,25,38
33.397,14522,-7956,25,19
33.919,14518,-7975,25,38
34.410,14526,-7978,25,19
34.921,14515,-7953,25,38
35.439,14515,-7950,25,19
35.908,14518,-8009,25,39
36.374,14515,-7956,25,19
36.923,14511,-7990,25,38
37.381,14518,-8000,25,19
37.915,14518,-8000,25,38
38.414,14515,-7965,25,19
38.889,14511,-7987,25,38
39.390,14515,-7987,25,19
39.913,14515,-7984,25,38
40.416,14515,-7971,25,19
40.915,14511,-7971,25,38
41.384,14518,-7975,25,19
41.875,14511,-7928,25,38
42.391,14515,-7937,25,19
42.897,14511,-7971,25,38
43.411,14515,-7971,25,19
43.889,14511,-7990,25,38
44.417,14511,-7990,25,19
44.889,14511,-7950,25,38
45.358,14504,-7953,25,19
45.903,14504,-7978,25,38
46.413,14511,-7978,25,19
46.913,14515,-7950,25,39
47.362,14515,-7978,25,19
47.890,14511,-7971,25,38
48.370,14511,-7975,25,19
48.894,14508,-7978,25,38
49.379,14511,-7993,25,19
49.917,14511,-7953,25,38
50.388,14508,-7965,25,19
50.867,14504,-7953,25,38
51.403,14518,-7959,25,19
51.909,14504,-7912,25,38
52.396,14511,-7956,25,19
52.903,14511,-7968,25,38
53.405,14508,-7968,25,19
53.913,14511,-7996,25,39
54.423,14511,-8006,25,19
54.854,14504,-7984,25,38
55.399,14508,-7956,25,19
55.914,14511,-7953,25,39
56.393,14504,-7965,25,19
56.894,14504,-7950,25,38
57.390,14504,-7965,25,19
57.887,14504,-7978,25,38
58.413,14508,-7959,25,19
58.882,14504,-7959,25,38
59.385,14508,-7946,25,19
59.885,14504,-7975,25,38
60.395,14504,-7971,25,19
60.898,14504,-7959,25,38
61.383,14508,-7965,25,19
61.888,14508,-7965,25,38
62.421,14500,-7950,25,19
62.881,14508,-7971,25,39
63.360,14504,-7990,25,19
63.900,14500,-7965,25,38
64.400,14500,-7993,25,19
64.880,14504,-7971,25,39
65.384,14500,-7950,25,19
65.901,14504,-8012,25,39
66.374,14500,-7975,25,19
66.879,14504,-7987,25,39
67.407,14500,-7937,25,19
67.855,14500,-7953,25,38
68.390,14504,-7990,25,19
68.925,14508,-7978,25,39
69.422,14493,-7990,25,19
