Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
0.472,14608,-62,26,97
0.978,14608,-62,26,97
1.489,14608,-62,26,97
1.947,14608,-62,26,96
2.444,14529,-7937,26,96
2.978,14529,-7937,26,96
3.471,14529,-7937,26,95
3.984,14529,-7937,26,95
4.474,14529,-7937,26,95
5.000,14529,-7937,26,95
5.466,14529,-7937,26,95
6.009,14529,-7937,26,95
6.504,14529,-7937,26,95
6.959,14529,-7937,26,95
7.475,14529,-7937,26,95
8.026,14529,-7937,26,95
8.448,14511,-8012,26,95
8.973,14511,-7975,26,95
9.494,14511,-8006,26,95
9.979,14511,-7984,26,95
10.485,14504,-7968,26,95
10.969,14511,-7965,26,95
11.476,14508,-8000,26,95
11.981,14508,-7965,26,95
12.469,14504,-7946,26,95
13.005,14508,-7978,26,95
13.500,14504,-7950,26,95
13.968,14500,-8012,26,95
14.484,14504,-7987,26,95
15.000,14504,-7984,26,95
15.521,14500,-7978,26,95
15.973,14500,-7996,26,95
16.489,14504,-7934,26,95
16.988,14493,-7987,26,95
17.511,14497,-8012,26,95
17.980,14500,-7959,26,95
18.468,14500,-7990,26,95
18.967,14500,-7937,26,95
19.517,14497,-7946,26,95
19.977,14500,-7956,26,95
20.481,14497,-7971,26,95
20.998,14497,-7968,26,95
21.461,14493,-8025,26,95
21.989,14500,-7956,26,95
22.493,14497,-7950,26,95
22.972,14493,-7950,26,95
23.479,14493,-8009,26,95
24.012,14493,-7950,26,95
24.485,14493,-7993,26,95
25.009,14493,-7950,26,95
25.467,14493,-7940,26,95
26.004,14486,-7953,26,95
26.454,14490,-7937,26,95
26.985,14493,-7993,26,95
27.492,14486,-7971,26,95
27.957,14486,-8006,26,95
28.510,14497,-7975,26,95
28.965,14493,-7984,26,95
29.501,14493,-8000,26,95
30.005,14493,-8018,26,95
30.483,14486,-8006,26,95
30.974,14486,-7959,26,95
31.482,14482,-7959,26,95
31.996,14486,-7968,26,95
32.515,14482,-7975,26,95
32.992,14486,-7959,26,95
33.501,14482,-7959,26,95
34.009,14486,-7959,26,95
34.533,14490,-7950,26,95
34.973,14490,-7965,26,95
35.460,14486,-7928,26,95
35.988,14482,-7918,26,95
36.528,14486,-7990,26,95
37.013,14482,-7975,26,95
37.525,14482,-7953,26,95
37.965,14475,-8015,26,95
38.514,14479,-7987,26,95
38.996,14482,-7959,26,95
39.511,14475,-7915,26,95
40.003,14482,-7953,26,95
40.497,14482,-8009,26,95
41.044,14479,-7996,26,95
41.460,14479,-7968,26,95
41.991,14482,-7975,26,95
42.490,14479,-7984,26,95
42.982,14475,-7978,26,95
43.472,14479,-7956,26,95
43.974,14475,-7984,26,95
44.492,14475,-7987,26,95
45.018,14475,-8025,26,95
45.485,14475,-7959,26,95
46.017,14479,-7975,26,95
46.494,14475,-7971,26,95
47.060,14472,-7928,26,95
47.497,14475,-7971,26,95
47.980,14468,-7984,26,95
48.501,14472,-7968,26,95
48.982,14472,-7959,26,95
49.517,14472,-7965,26,95
49.969,14475,-7956,26,95
50.500,14468,-7968,26,95
50.969,14464,-7996,26,95
51.490,14468,-7946,26,95
52.004,14472,-7971,26,95
52.491,14475,-7900,26,95
53.026,14475,-7968,26,95
53.502,14468,-7950,26,95
53.996,14472,-7965,26,95
54.509,14472,-7965,26,95
55.014,14468,-8018,26,95
55.512,14464,-7934,26,95
56.018,14464,-7956,26,95
56.519,14464,-7975,26,95
56.985,14468,-7953,26,95
57.511,14468,-7959,26,95
57.968,14468,-7971,26,95
58.520,14468,-7940,26,95
58.994,14472,-7975,26,95
59.521,14464,-7934,26,95
60.013,14468,-7975,26,95
60.509,14464,-7959,26,95
60.994,14468,-7975,26,95
61.488,14468,-8006,26,95
62.021,14468,-7909,26,95
62.478,14461,-7978,26,95
63.011,14468,-7993,26,95
63.513,14464,-7965,26,95
63.984,14461,-7956,26,95
64.492,14464,-7975,26,95
64.999,14468,-7915,26,95
65.523,14464,-7990,26,95
65.969,14461,-7956,26,95
66.495,14461,-7990,26,95
67.023,14464,-7959,26,95
67.529,14468,-7996,26,95
68.023,14464,-7978,26,95
68.522,14461,-8018,26,95
69.025,14464,-7975,26,95
69.550,14461,-7965,26,95
70.018,14464,-7984,26,95
70.528,14464,-7971,26,95
71.016,14461,-7959,26,95
71.533,14461,-7990,26,95
72.002,14457,-7971,26,95
72.523,14464,-7950,26,95
73.025,14457,-8006,26,95
73.499,14457,-7971,26,95
74.003,14457,-7937,26,95
74.509,14457,-7950,26,95
75.029,14461,-7975,26,95
75.491,14461,-7975,26,95
76.026,14457,-7984,26,95
76.528,14457,-7993,26,95
76.997,14457,-7971,26,95
77.532,14450,-7950,26,95
78.018,14461,-8009,26,95
78.541,14457,-7956,26,95
79.029,14450,-7993,26,95
79.540,14457,-7987,26,95
79.984,14454,-7978,26,95
80.535,14457,-8006,26,95
80.982,14457,-7990,26,95
81.530,14457,-7968,26,95
81.996,14457,-7940,26,95
82.544,14457,-7940,26,95
83.054,14457,-7959,26,95
83.522,14454,-7946,26,95
83.994,14450,-7978,26,95
84.541,14457,-8006,26,95
85.045,14457,-7971,26,95
85.503,14450,-7968,26,95
86.012,14446,-7971,26,95
86.552,14454,-7965,26,95
87.005,14454,-7946,26,95
87.557,14454,-7950,26,95
88.041,14454,-7993,26,95
88.522,14450,-7965,26,95
89.026,14454,-7953,26,95
89.527,14454,-7950,26,95
